ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,geotypevalue,geoname,county_name,county_fips,region_name,region_code,cost_yr,median_income,affordability_ratio,LL95_affordability_ratio,UL95_affordability_ratio,se_food_afford,rse_food_afford,CA_decile,CA_RR,ave_fam_size,version
757,Food affordability for female-headed household with children under 18 years,2006-2010,1,AIAN,CA,06,California,,,California,,7508.2896552000002,23777,0.3157795,0.2315166,0.4000425,0.0429913,13.614341899999999,,1.1853472,3.34,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,2,Asian,CA,06,California,,,California,,7508.2896552000002,38508,0.19498,0.1830649,0.2068951,0.0060791,3.1178142,,0.7318999,3.34,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,3,AfricanAm,CA,06,California,,,California,,7508.2896552000002,26192,0.2866635,0.2796607,0.2936662,0.0035728,1.2463492,,1.0760538,3.34,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,4,Latino,CA,06,California,,,California,,7508.2896552000002,22858,0.3284754,0.3226367,0.334314,0.0029789,0.9068809,,1.2330038,3.34,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,5,NHOPI,CA,06,California,,,California,,7508.2896552000002,36737,0.2043795,0.1737619,0.2349971,0.0156212,7.6432554,,0.7671829,3.34,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,6,White,CA,06,California,,,California,,7508.2896552000002,38641,0.1943089,0.1895696,0.1990482,0.002418,1.2444064,,0.7293807,3.34,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,7,Multiple,CA,06,California,,,California,,7508.2896552000002,32866,0.2284516,0.2100075,0.2468957,0.0094103,4.1191486,,0.8575427,3.34,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,8,Other,CA,06,California,,,California,,7508.2896552000002,30439,0.2466668,0.1765589,0.3167746,0.0357693,14.5010735,,0.9259174,3.34,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,9,Total,CA,06,California,,,California,,7508.2896552000002,28184,0.2664026,0.2628324,0.2699727,0.0018215,0.6837396,,1,3.34,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,1,AIAN,CO,06001,Alameda,Alameda,06001,Bay Area,01,7242.1230071999998,16063,0.4508574,0.0878692,0.8138457,0.1851981,41.076861700000002,,1.6923916,3.21,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,2,Asian,CO,06001,Alameda,Alameda,06001,Bay Area,01,7242.1230071999998,42048,0.1722347,0.1213944,0.223075,0.0259389,15.0602236,,0.6465203,3.21,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,3,AfricanAm,CO,06001,Alameda,Alameda,06001,Bay Area,01,7242.1230071999998,23858,0.3035511,0.2668497,0.3402525,0.0187252,6.1687171,,1.1394453,3.21,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,4,Latino,CO,06001,Alameda,Alameda,06001,Bay Area,01,7242.1230071999998,28917,0.2504452,0.2140284,0.2868619,0.01858,7.4187805,,0.9401005,3.21,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,5,NHOPI,CO,06001,Alameda,Alameda,06001,Bay Area,01,7242.1230071999998,35238,0.2055203,0.1249028,0.2861377,0.0411313,20.013280099999999,,0.7714651,3.21,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,6,White,CO,06001,Alameda,Alameda,06001,Bay Area,01,7242.1230071999998,50497,0.1434169,0.1340535,0.1527803,0.0047773,3.3310234,,0.5383465,3.21,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,7,Multiple,CO,06001,Alameda,Alameda,06001,Bay Area,01,7242.1230071999998,39591,0.1829235,0.1450761,0.2207708,0.0193099,10.5562661,,0.6866431,3.21,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,8,Other,CO,06001,Alameda,Alameda,06001,Bay Area,01,7242.1230071999998,21205,0.341529,0.1617168,0.5213412,0.0917409,26.861818599999999,,1.2820036,3.21,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,9,Total,CO,06001,Alameda,Alameda,06001,Bay Area,01,7242.1230071999998,31764,0.2279978,0.2160502,0.2399455,0.0060957,2.6735932,,0.8558395,3.21,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,1,AIAN,CO,06003,Alpine,Alpine,06003,Central/Southeast Sierra,03,8821.1913600000007,,,,,,,,,3.81,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,2,Asian,CO,06003,Alpine,Alpine,06003,Central/Southeast Sierra,03,8821.1913600000007,,,,,,,,,3.81,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,3,AfricanAm,CO,06003,Alpine,Alpine,06003,Central/Southeast Sierra,03,8821.1913600000007,,,,,,,,,3.81,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,4,Latino,CO,06003,Alpine,Alpine,06003,Central/Southeast Sierra,03,8821.1913600000007,,,,,,,,,3.81,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,5,NHOPI,CO,06003,Alpine,Alpine,06003,Central/Southeast Sierra,03,8821.1913600000007,,,,,,,,,3.81,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,6,White,CO,06003,Alpine,Alpine,06003,Central/Southeast Sierra,03,8821.1913600000007,,,,,,,,,3.81,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,7,Multiple,CO,06003,Alpine,Alpine,06003,Central/Southeast Sierra,03,8821.1913600000007,,,,,,,,,3.81,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,8,Other,CO,06003,Alpine,Alpine,06003,Central/Southeast Sierra,03,8821.1913600000007,,,,,,,,,3.81,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,9,Total,CO,06003,Alpine,Alpine,06003,Central/Southeast Sierra,03,8821.1913600000007,48333,0.1825087,0,0.5706138,0.1980128,108.4950367,,0.685086,3.81,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,1,AIAN,CO,06005,Amador,Amador,06005,Central/Southeast Sierra,03,5812.6720848000004,,,,,,,,,2.58,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,2,Asian,CO,06005,Amador,Amador,06005,Central/Southeast Sierra,03,5812.6720848000004,,,,,,,,,2.58,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,3,AfricanAm,CO,06005,Amador,Amador,06005,Central/Southeast Sierra,03,5812.6720848000004,,,,,,,,,2.58,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,4,Latino,CO,06005,Amador,Amador,06005,Central/Southeast Sierra,03,5812.6720848000004,33500,0.1735126,0,0.4714566,0.1520122,87.608764699999995,,0.6513173,2.58,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,5,NHOPI,CO,06005,Amador,Amador,06005,Central/Southeast Sierra,03,5812.6720848000004,,,,,,,,,2.58,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,6,White,CO,06005,Amador,Amador,06005,Central/Southeast Sierra,03,5812.6720848000004,27448,0.2117703,0.0980562,0.3254844,0.0580174,27.3963745,,0.7949261,2.58,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,7,Multiple,CO,06005,Amador,Amador,06005,Central/Southeast Sierra,03,5812.6720848000004,6588,0.8823121,0,6.5789008,2.9064228,329.40983240000003,,3.3119506,2.58,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,8,Other,CO,06005,Amador,Amador,06005,Central/Southeast Sierra,03,5812.6720848000004,,,,,,,,,2.58,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,9,Total,CO,06005,Amador,Amador,06005,Central/Southeast Sierra,03,5812.6720848000004,27118,0.2143474,0.11692,0.3117748,0.0497079,23.190330599999999,,0.8045995,2.58,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,1,AIAN,CO,06007,Butte,Butte,06007,Butte,02,6755.1682356000001,35302,0.1913537,0.07133,0.3113774,0.0612366,32.001768900000002,,0.7182878,2.99,04/12/2013 04:33:00 AM
757,Food affordability for female-headed household with children under 18 years,2006-2010,2,Asian,CO,06007,Butte,Butte,06007,Butte,02,6755.1682356000001,27159,0.2487267,0.2027223,0.2947311,0.0234716,9.4367169,,0.9336498,2.99,04/12/2013 04:33:00 AM
